time_step,time,target_vel,intensity,current_joint,min_distance
1,1725343117.9265482,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007360089803114533, -1.0471700429916382, -3.8940801459830254e-05, -2.094369888305664, 0.0005715690203942358, 2.618340015411377, 0.7858309745788574]",0.38748517632484436
2,1725343117.9491887,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007398370071314275, -1.0471700429916382, -4.414089926285669e-05, -2.094369888305664, 0.0005721789784729481, 2.618340015411377, 0.785834014415741]",0.3874850571155548
3,1725343117.971952,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007382460171356797, -1.0471700429916382, -4.132149842916988e-05, -2.094369888305664, 0.0005721789784729481, 2.618340015411377, 0.785834014415741]",0.3874851167201996
4,1725343117.994712,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007399159949272871, -1.0471800565719604, -4.132240064791404e-05, -2.094360113143921, 0.0005727899842895567, 2.618340015411377, 0.7858350276947021]",0.3874877691268921
5,1725343118.017496,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007346529746428132, -1.0471700429916382, -4.196670124656521e-05, -2.094360113143921, 0.0005721789784729481, 2.618340015411377, 0.7858390212059021]",0.3874877095222473
6,1725343118.0403023,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007349550141952932, -1.0471700429916382, -4.4932901801075786e-05, -2.094360113143921, 0.0005727899842895567, 2.618340015411377, 0.7858380079269409]",0.3874876797199249
7,1725343118.063746,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.000741440977435559, -1.0471700429916382, -4.132140020374209e-05, -2.094369888305664, 0.0005721789784729481, 2.618340015411377, 0.7858330011367798]",0.3874851167201996
8,1725343118.0865302,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007399530149996281, -1.0471700429916382, -3.910910163540393e-05, -2.094360113143921, 0.0005721789784729481, 2.618340015411377, 0.7858350276947021]",0.3874877095222473
9,1725343118.10927,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.000741440977435559, -1.0471700429916382, -4.274629827705212e-05, -2.094360113143921, 0.0005715690203942358, 2.618340015411377, 0.7858290076255798]",0.3874877691268921
10,1725343118.1320012,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007400080212391913, -1.0471700429916382, -4.2901301640085876e-05, -2.094360113143921, 0.0005721789784729481, 2.618340015411377, 0.7858330011367798]",0.3874876797199249
11,1725343118.1548016,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007405159994959831, -1.0471700429916382, -4.2984098399756476e-05, -2.094369888305664, 0.0005727899842895567, 2.6183300018310547, 0.7858369946479797]",0.3874850571155548
12,1725343118.177593,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007429639808833599, -1.0471700429916382, -3.9112699596444145e-05, -2.094369888305664, 0.0005727899842895567, 2.618340015411377, 0.785834014415741]",0.387485146522522
13,1725343118.2003891,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007463080110028386, -1.0471700429916382, -3.5333501728018746e-05, -2.094369888305664, 0.0005727899842895567, 2.618340015411377, 0.7858369946479797]",0.3874853253364563
14,1725343118.223138,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007429670076817274, -1.0471700429916382, -4.2637799197109416e-05, -2.094360113143921, 0.0005715690203942358, 2.618340015411377, 0.785830020904541]",0.3874877095222473
15,1725343118.2460203,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007463080110028386, -1.0471700429916382, -4.1287301428383216e-05, -2.094369888305664, 0.0005727899842895567, 2.618340015411377, 0.7858369946479797]",0.3874850869178772
16,1725343118.2687545,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007448740070685744, -1.0471700429916382, -3.941529939766042e-05, -2.094369888305664, 0.0005727899842895567, 2.618340015411377, 0.7858350276947021]",0.38748517632484436
17,1725343118.2915711,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007474810117855668, -1.0471700429916382, -3.797280078288168e-05, -2.094360113143921, 0.0005735019803978503, 2.618340015411377, 0.7858319878578186]",0.3874877989292145
18,1725343118.3151133,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007478329935111105, -1.0471700429916382, -3.962230039178394e-05, -2.094369888305664, 0.0005741119966842234, 2.618340015411377, 0.7858350276947021]",0.3874851167201996
19,1725343118.3384905,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007461620261892676, -1.0471700429916382, -3.9651698898524046e-05, -2.094369888305664, 0.0005727899842895567, 2.618340015411377, 0.7858290076255798]",0.3874851167201996
20,1725343118.3619022,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007461630157195032, -1.0471700429916382, -4.29048013756983e-05, -2.094360113143921, 0.0005735019803978503, 2.618340015411377, 0.7858359813690186]",0.38748764991760254
21,1725343118.3854198,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007495029713027179, -1.0471800565719604, -4.100679871044122e-05, -2.094360113143921, 0.0005735019803978503, 2.618340015411377, 0.7858319878578186]",0.3874877691268921
22,1725343118.408774,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007478420156985521, -1.0471700429916382, -4.132140020374209e-05, -2.094360113143921, 0.0005735019803978503, 2.618340015411377, 0.7858350276947021]",0.38748764991760254
23,1725343118.4322064,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007444769726134837, -1.0471700429916382, -3.750939868041314e-05, -2.094369888305664, 0.0005721789784729481, 2.6183300018310547, 0.7858350276947021]",0.3874850869178772
