time_step,time,target_vel,intensity,current_joint,min_distance
1,1725341842.8333356,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011835600016638637, -1.0471800565719604, 3.5666801068146015e-06, -2.0992801189422607, 0.0003521410108078271, 2.6183199882507324, 0.7852650284767151]",0.3861823081970215
2,1725341842.8579612,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011839099461212754, -1.0471800565719604, 1.8933300225398852e-06, -2.0992801189422607, 0.000351530994521454, 2.6183199882507324, 0.7852650284767151]",0.3861822187900543
3,1725341842.8821754,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011920500546693802, -1.0471800565719604, 1.8933300225398852e-06, -2.0992801189422607, 0.0003528140077833086, 2.6183199882507324, 0.7852640151977539]",0.3861822783946991
4,1725341842.9067097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011884300038218498, -1.0471800565719604, 3.5900700368074467e-06, -2.0992801189422607, 0.0003521020116750151, 2.6183199882507324, 0.7852650284767151]",0.3861822783946991
5,1725341842.931201,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011867600260302424, -1.0471800565719604, 4.5993999719939893e-07, -2.0992801189422607, 0.00035320600727573037, 2.6183199882507324, 0.7852630019187927]",0.3861822783946991
6,1725341842.9557211,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011884600389748812, -1.0471800565719604, 4.023820110887755e-06, -2.0992801189422607, 0.0003528140077833086, 2.6183199882507324, 0.7852609753608704]",0.3861823081970215
7,1725341842.980178,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011870700400322676, -1.0471800565719604, 3.563759946700884e-06, -2.0992701053619385, 0.00035285300691612065, 2.6183199882507324, 0.7852630019187927]",0.3861849009990692
8,1725341843.0044854,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011915899813175201, -1.0471800565719604, 2.229979969570195e-07, -2.0992801189422607, 0.0003528140077833086, 2.6183199882507324, 0.7852640151977539]",0.3861822187900543
9,1725341843.0288858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011935699731111526, -1.0471800565719604, 2.2288999446118396e-07, -2.0992801189422607, 0.00035427301190793514, 2.6183199882507324, 0.7852650284767151]",0.3861822187900543
10,1725341843.0533123,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.001188279944472015, -1.0471800565719604, 2.2288999446118396e-07, -2.0992801189422607, 0.0003522199986036867, 2.6183199882507324, 0.7852650284767151]",0.3861823081970215
11,1725341843.07767,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011916200164705515, -1.0471800565719604, 1.903070028674847e-06, -2.0992801189422607, 0.00035403500078246, 2.6183199882507324, 0.7852619886398315]",0.3861822783946991
12,1725341843.1021316,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011899500386789441, -1.0471800565719604, 2.3165699758465053e-07, -2.0992801189422607, 0.00035529700107872486, 2.6183199882507324, 0.7852650284767151]",0.38618215918540955
13,1725341843.1263144,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011884700506925583, -1.0471700429916382, 1.8933300225398852e-06, -2.0992801189422607, 0.00035316700814291835, 2.6183199882507324, 0.7852650284767151]",0.38618215918540955
14,1725341843.150577,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011942799901589751, -1.0471700429916382, 3.5929899695474887e-06, -2.0992801189422607, 0.00035346299409866333, 2.61830997467041, 0.7852619886398315]",0.38618212938308716
15,1725341843.175082,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011883099796250463, -1.0471700429916382, 1.894630031529232e-06, -2.0992701053619385, 0.0003528580127749592, 2.6183199882507324, 0.7852609753608704]",0.3861849009990692
16,1725341843.199336,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0011984399752691388, -1.0471700429916382, 4.888429998572974e-07, -2.0992801189422607, 0.00035149199538864195, 2.6183199882507324, 0.7852630019187927]",0.38618209958076477
17,1725341843.2235157,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0012117000296711922, -1.0471700429916382, -1.4471099802904064e-06, -2.0992801189422607, 0.0003576849994715303, 2.6183199882507324, 0.7852619886398315]",0.3861819803714752
18,1725341843.2476766,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0012160800397396088, -1.047160029411316, 1.9722299384739017e-06, -2.0992801189422607, 0.0003560110053513199, 2.6183199882507324, 0.7852609753608704]",0.38618215918540955
19,1725341843.2718158,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.001220269943587482, -1.047160029411316, 3.5647399272420444e-06, -2.0992801189422607, 0.0003521020116750151, 2.6183199882507324, 0.7852619886398315]",0.3861822187900543
